Date,Not indexed,Indexed,Impressions
2026-04-23,125,83,576
2026-04-24,123,85,435
2026-04-25,123,85,345
2026-04-26,123,85,574
2026-04-27,117,92,361
2026-04-28,117,92,502
2026-04-29,117,92,632
2026-04-30,117,92,684
2026-05-01,154,117,568
2026-05-02,154,117,461
2026-05-03,154,117,832
2026-05-04,131,143,744
2026-05-05,131,143,917
2026-05-06,131,143,851
2026-05-07,131,143,909
2026-05-08,110,164,803
2026-05-09,110,164,799
2026-05-10,110,164,1487
2026-05-11,92,184,1257
2026-05-12,92,184,1596
2026-05-13,92,184,1189
2026-05-14,92,184,1133
2026-05-15,93,183,809
2026-05-16,93,183,782
2026-05-17,93,183,799
2026-05-18,93,183,871
2026-05-19,93,183,810
2026-05-20,93,183,984
2026-05-21,93,183,751
2026-05-22,92,184,738
2026-05-23,92,184,895
2026-05-24,92,184,841
2026-05-25,78,199,737
2026-05-26,78,199,852
2026-05-27,78,199,1075
2026-05-28,78,199,762
2026-05-29,76,202,962
2026-05-30,76,202,901
2026-05-31,76,202,1097
2026-06-01,77,201,828
2026-06-02,77,201,853
2026-06-03,77,201,925
2026-06-04,77,201,772
2026-06-05,75,201,847
2026-06-06,75,201,720
2026-06-07,75,201,894
2026-06-08,75,201,850
2026-06-09,75,201,827
2026-06-10,75,201,820
2026-06-11,75,201,608
2026-06-12,65,218,969
2026-06-13,65,218,795
2026-06-14,65,218,775
2026-06-15,65,218,825
2026-06-16,65,218,1411
2026-06-17,65,218,1260
2026-06-18,65,218,1114
2026-06-19,65,218,1608
2026-06-20,65,218,1088
2026-06-21,65,218,1233
2026-06-22,65,218,1126
2026-06-23,65,218,1229
2026-06-24,65,218,928
2026-06-25,65,218,703
2026-06-26,65,218,869
2026-06-27,65,218,784
2026-06-28,65,218,657
2026-06-29,65,218,604
2026-06-30,60,220,1089
2026-07-01,60,220,781
2026-07-02,60,220,481
2026-07-03,60,220,799
2026-07-04,60,220,625
2026-07-05,60,220,654
2026-07-06,60,220,678
2026-07-07,60,220,861
2026-07-08,60,220,966
2026-07-09,60,220,868
