#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=33 lookahead_threads=11 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=5180 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.27 aq:16.95 tex:881005 mv:222437 misc:398 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:26.57 aq:18.42 tex:189233 mv:41675 misc:5268 imb:1245 pmb:5565 smb:1350 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:26.57 aq:19.79 tex:26337 mv:23867 misc:7732 imb:215 pmb:3214 smb:4731 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:26.57 aq:20.87 tex:10690 mv:13418 misc:7116 imb:74 pmb:2230 smb:5856 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:26.57 aq:21.03 tex:11911 mv:15034 misc:6495 imb:94 pmb:2023 smb:6043 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:26.61 aq:18.84 tex:215134 mv:45622 misc:4916 imb:1775 pmb:5130 smb:1255 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:26.59 aq:20.24 tex:31576 mv:32697 misc:8023 imb:281 pmb:3948 smb:3931 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:26.58 aq:21.03 tex:14481 mv:20329 misc:7822 imb:134 pmb:3048 smb:4978 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:26.60 aq:21.43 tex:12349 mv:15143 misc:6324 imb:96 pmb:1842 smb:6222 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:26.67 aq:19.39 tex:289371 mv:50980 misc:3753 imb:2700 pmb:4569 smb:891 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:26.64 aq:20.55 tex:42480 mv:33955 misc:7493 imb:525 pmb:3398 smb:4237 d:s ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:26.62 aq:21.02 tex:16878 mv:21961 misc:7313 imb:160 pmb:3163 smb:4837 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:26.65 aq:21.99 tex:16909 mv:17522 misc:6625 imb:90 pmb:2202 smb:5868 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:26.80 aq:19.55 tex:326635 mv:53585 misc:3300 imb:3147 pmb:4282 smb:731 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:26.73 aq:20.33 tex:59183 mv:35638 misc:7131 imb:639 pmb:3373 smb:4148 d:s ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:26.70 aq:21.11 tex:26309 mv:22659 misc:7128 imb:244 pmb:2934 smb:4982 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:26.77 aq:21.71 tex:20547 mv:19173 misc:6712 imb:128 pmb:2277 smb:5755 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:26.99 aq:20.05 tex:304346 mv:52703 misc:3503 imb:2866 pmb:4375 smb:919 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:26.89 aq:20.69 tex:57297 mv:35562 misc:7021 imb:691 pmb:3143 smb:4326 d:s ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:26.85 aq:21.31 tex:22329 mv:21932 misc:7107 imb:234 pmb:3196 smb:4730 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:26.94 aq:22.28 tex:20488 mv:19935 misc:6865 imb:134 pmb:2358 smb:5668 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:27.13 aq:20.28 tex:288389 mv:51326 misc:4109 imb:2897 pmb:4140 smb:1123 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:27.06 aq:20.77 tex:55082 mv:40939 misc:6947 imb:782 pmb:3764 smb:3614 d:s ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:27.02 aq:21.62 tex:25038 mv:27541 misc:7453 imb:257 pmb:3235 smb:4668 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:27.10 aq:22.48 tex:16755 mv:18083 misc:6602 imb:113 pmb:2116 smb:5931 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:27.28 aq:20.02 tex:307317 mv:52313 misc:3338 imb:3155 pmb:4120 smb:885 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:27.21 aq:20.74 tex:52845 mv:35615 misc:7444 imb:527 pmb:3345 smb:4288 d:s ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:27.17 aq:21.51 tex:23647 mv:22020 misc:7469 imb:213 pmb:2790 smb:5157 d:s ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:27.24 aq:22.08 tex:19274 mv:19153 misc:6661 imb:153 pmb:2089 smb:5918 d:- ref:0 ;
in:31 out:29 type:P dur:2 cpbdur:2 q:27.49 aq:20.11 tex:232583 mv:49994 misc:4023 imb:2630 pmb:4412 smb:1118 d:- ref:0 ;
in:29 out:30 type:B dur:2 cpbdur:2 q:27.35 aq:21.65 tex:31357 mv:27011 misc:6840 imb:406 pmb:2602 smb:5152 d:s ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:27.42 aq:21.84 tex:16711 mv:19301 misc:6772 imb:176 pmb:2116 smb:5868 d:- ref:0 ;
in:35 out:32 type:P dur:2 cpbdur:2 q:27.57 aq:19.88 tex:267274 mv:53604 misc:3474 imb:2932 pmb:4286 smb:942 d:- ref:0 ;
in:33 out:33 type:B dur:2 cpbdur:2 q:27.53 aq:21.12 tex:37276 mv:36408 misc:6588 imb:526 pmb:4067 smb:3567 d:s ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:27.51 aq:22.04 tex:22963 mv:31625 misc:6708 imb:400 pmb:3291 smb:4469 d:s ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:27.55 aq:22.21 tex:12947 mv:16487 misc:6262 imb:137 pmb:1727 smb:6296 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:32.54 aq:24.33 tex:55601 mv:30235 misc:7036 imb:1202 pmb:2501 smb:4457 d:s ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:30.06 aq:23.53 tex:16071 mv:22075 misc:6678 imb:274 pmb:2001 smb:5885 d:t ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:28.81 aq:23.44 tex:10331 mv:15165 misc:5792 imb:115 pmb:1521 smb:6524 d:t ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:31.30 aq:26.16 tex:5558 mv:11034 misc:4416 imb:79 pmb:1073 smb:7008 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:29.15 aq:21.60 tex:196967 mv:50649 misc:4680 imb:2910 pmb:3800 smb:1450 d:s ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:30.84 aq:24.29 tex:14393 mv:22529 misc:6462 imb:272 pmb:1994 smb:5894 d:s ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:31.69 aq:26.08 tex:4904 mv:11467 misc:4413 imb:82 pmb:1107 smb:6971 d:s ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:30.00 aq:24.92 tex:8202 mv:14611 misc:5411 imb:129 pmb:1424 smb:6607 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:27.63 aq:20.31 tex:245817 mv:54867 misc:4404 imb:2741 pmb:4191 smb:1228 d:s ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:28.39 aq:22.01 tex:27711 mv:30394 misc:7559 imb:365 pmb:2758 smb:5037 d:s ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:28.77 aq:23.40 tex:11196 mv:17840 misc:6076 imb:159 pmb:1722 smb:6279 d:s ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:28.01 aq:22.85 tex:14382 mv:19831 misc:6563 imb:155 pmb:2003 smb:6002 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:26.87 aq:19.71 tex:287674 mv:57575 misc:3631 imb:2908 pmb:4292 smb:960 d:s ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:27.25 aq:21.11 tex:40010 mv:35010 misc:7828 imb:416 pmb:3408 smb:4336 d:s ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:27.44 aq:22.45 tex:17076 mv:22431 misc:6781 imb:211 pmb:2164 smb:5785 d:s ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:27.06 aq:21.80 tex:17887 mv:22840 misc:6905 imb:215 pmb:2249 smb:5696 d:- ref:0 ;
in:53 out:52 type:P dur:2 cpbdur:2 q:26.24 aq:18.96 tex:235318 mv:50923 misc:4639 imb:2318 pmb:4552 smb:1290 d:s ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:26.56 aq:21.21 tex:22886 mv:24817 misc:7257 imb:226 pmb:2521 smb:5413 d:t ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:26.27 aq:18.82 tex:237982 mv:49205 misc:4757 imb:2174 pmb:4551 smb:1435 d:s ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:26.25 aq:20.96 tex:24170 mv:26749 misc:7529 imb:242 pmb:2711 smb:5207 d:t ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:25.89 aq:18.60 tex:315117 mv:60139 misc:2880 imb:2949 pmb:4602 smb:609 d:s ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:26.08 aq:19.78 tex:57487 mv:43276 misc:7797 imb:612 pmb:3996 smb:3552 d:s ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:26.17 aq:20.88 tex:24810 mv:27812 misc:7514 imb:321 pmb:2759 smb:5080 d:s ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:25.98 aq:20.66 tex:25939 mv:27433 misc:7572 imb:303 pmb:2747 smb:5110 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:25.44 aq:18.25 tex:339886 mv:62069 misc:2653 imb:2970 pmb:4647 smb:543 d:s ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:25.67 aq:19.43 tex:63576 mv:45784 misc:7776 imb:715 pmb:4007 smb:3438 d:s ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:25.78 aq:20.38 tex:25835 mv:27842 misc:7427 imb:272 pmb:2787 smb:5101 d:s ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:25.55 aq:20.18 tex:29418 mv:30697 misc:7581 imb:316 pmb:2984 smb:4860 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:24.78 aq:17.62 tex:381068 mv:64238 misc:2390 imb:2989 pmb:4727 smb:444 d:s ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:25.11 aq:19.19 tex:74060 mv:49301 misc:7575 imb:706 pmb:4295 smb:3159 d:s ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:25.28 aq:19.99 tex:31488 mv:34001 misc:7655 imb:380 pmb:3134 smb:4646 d:s ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:24.94 aq:19.98 tex:35425 mv:34316 misc:7699 imb:365 pmb:3260 smb:4535 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:24.60 aq:17.57 tex:360420 mv:62702 misc:2654 imb:2959 pmb:4677 smb:524 d:s ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:24.69 aq:18.82 tex:86033 mv:51041 misc:7518 imb:719 pmb:4455 smb:2986 d:s ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:24.73 aq:19.73 tex:36525 mv:33514 misc:7713 imb:348 pmb:3276 smb:4536 d:s ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:24.64 aq:19.32 tex:34983 mv:32939 misc:7886 imb:318 pmb:3292 smb:4550 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:24.24 aq:17.23 tex:384008 mv:63816 misc:2424 imb:3165 pmb:4532 smb:463 d:s ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:24.42 aq:18.36 tex:85508 mv:49622 misc:7526 imb:710 pmb:4466 smb:2984 d:s ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:24.51 aq:19.38 tex:41222 mv:34990 misc:7852 imb:411 pmb:3497 smb:4252 d:s ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:24.33 aq:19.01 tex:39125 mv:33327 misc:7812 imb:356 pmb:3356 smb:4448 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:24.14 aq:17.60 tex:321946 mv:64364 misc:2698 imb:2905 pmb:4657 smb:598 d:s ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:24.19 aq:18.07 tex:98263 mv:52753 misc:7256 imb:735 pmb:4722 smb:2703 d:s ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:24.22 aq:18.94 tex:41515 mv:35104 misc:7837 imb:363 pmb:3540 smb:4257 d:s ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:24.16 aq:18.96 tex:40620 mv:34666 misc:7946 imb:346 pmb:3556 smb:4258 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:24.11 aq:18.17 tex:275261 mv:58584 misc:3843 imb:2621 pmb:4515 smb:1024 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:24.12 aq:19.14 tex:47723 mv:36729 misc:7876 imb:369 pmb:3650 smb:4141 d:s ref:0 ;
